BioProject,Run,AvgSpotLen,Bases,BioSample,Bytes,Center.Name,Experiment,Library.Name,Organism,Platform,ReleaseDate,Sample.Name,SRA.Study,Isolate,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolation_source,sex,Age,Biomaterial_provider,Strain,breeding_system,MiSeq_run_library,dev_stage,PHENOTYPE,collected_by,Breed,Host,Specimen_voucher,accession..run.,object_status..run.,study..run.,OLD_geo_loc_name,Cultivar,Ecotype,Investigation_type,BIOME,Depth,elev,env_package,feature,Label,lat_lon,material,project_name,lat,lon,counts
PRJNA247438,SRR1369880,502,270653300,SAMN02839676,185332150,ERDC-USACE,SRX584782,Run20130530_G3-LF-r3_EL2115_S12,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_2_EL2115,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2115_S12;Run20130528_G3-LF-r2_EL2115_S12;Run20130530_G3-LF-r3_EL2115_S12;Run20130617_G3-LF-r4_EL2115_S12;Run20130730_G3-6LF-r1_EL2115_S3,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369881,502,369165780,SAMN02839678,251195817,ERDC-USACE,SRX584783,Run20130530_G3-LF-r3_EL2116_S13,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_3_EL2116,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2116_S13;Run20130528_G3-LF-r2_EL2116_S13;Run20130530_G3-LF-r3_EL2116_S13;Run20130617_G3-LF-r4_EL2116_S13;Run20130806_G3-6LF-r2_EL2116_S3,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369882,502,387277940,SAMN02839680,267104707,ERDC-USACE,SRX584784,Run20130530_G3-LF-r3_EL2117_S14,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_4_EL2117,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2117_S14;Run20130528_G3-LF-r2_EL2117_S14;Run20130530_G3-LF-r3_EL2117_S14;Run20130617_G3-LF-r4_EL2117_S14;Run20130806_G3-6LF-r2_EL2117_S4,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369883,502,245780706,SAMN02839682,166840956,ERDC-USACE,SRX584785,Run20130530_G3-LF-r3_EL2118_S15,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_5_EL2118,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2118_S15;Run20130528_G3-LF-r2_EL2118_S15;Run20130530_G3-LF-r3_EL2118_S15;Run20130617_G3-LF-r4_EL2118_S15;Run20130730_G3-6LF-r1_EL2118_S4,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369884,502,295375294,SAMN02839654,205702912,ERDC-USACE,SRX584786,Run20130530_G3-LF-r3_EL2119_S16,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,HSL_1_EL2119,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Horseshoe Lake\, MO",HSL,parthenogenetic female,Run20130521_G3-LF-r1_EL2119_S16;Run20130528_G3-LF-r2_EL2119_S16;Run20130530_G3-LF-r3_EL2119_S16;Run20130617_G3-LF-r4_EL2119_S16;Run20130806_G3-6LF-r2_EL2119_S5,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369885,502,117921808,SAMN02839656,82548557,ERDC-USACE,SRX584787,Run20130530_G3-LF-r3_EL2120_S17,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,HSL_2_EL2120,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Horseshoe Lake\, MO",HSL,parthenogenetic female,Run20130521_G3-LF-r1_EL2120_S17;Run20130528_G3-LF-r2_EL2120_S17;Run20130530_G3-LF-r3_EL2120_S17;Run20130617_G3-LF-r4_EL2120_S17;Run20130808_G3-6LF-r3_EL2120_S5,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369886,502,276358530,SAMN02839658,191857382,ERDC-USACE,SRX584788,Run20130530_G3-LF-r3_EL2121_S18,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,HSL_3_EL2121,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Horseshoe Lake\, MO",HSL,parthenogenetic female,Run20130521_G3-LF-r1_EL2121_S18;Run20130528_G3-LF-r2_EL2121_S18;Run20130530_G3-LF-r3_EL2121_S18;Run20130617_G3-LF-r4_EL2121_S18;Run20130816_G3-6LF-r5_EL2121_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369887,502,158105402,SAMN02839660,109168405,ERDC-USACE,SRX584789,Run20130530_G3-LF-r3_EL2122_S19,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,HSL_4_EL2122,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Horseshoe Lake\, MO",HSL,parthenogenetic female,Run20130521_G3-LF-r1_EL2122_S19;Run20130528_G3-LF-r2_EL2122_S19;Run20130530_G3-LF-r3_EL2122_S19;Run20130617_G3-LF-r4_EL2122_S19;Run20130822_G3-6LF-r6_EL2122_S3,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369888,502,176698980,SAMN02839662,123410379,ERDC-USACE,SRX584790,Run20130530_G3-LF-r3_EL2123_S20,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,HSL_5_EL2123,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Horseshoe Lake\, MO",HSL,parthenogenetic female,Run20130521_G3-LF-r1_EL2123_S20;Run20130528_G3-LF-r2_EL2123_S20;Run20130530_G3-LF-r3_EL2123_S20;Run20130617_G3-LF-r4_EL2123_S20;Run20130816_G3-6LF-r5_EL2123_S3,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369889,502,209057900,SAMN02839684,141005969,ERDC-USACE,SRX584791,Run20130530_G3-LF-r3_EL2124_S21,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,W3A_1_EL2124,SRP041981,,,,,,,female,adult,"Dr. Andrew Beckerman\, University of Sheffield\, UK",W3A,parthenogenetic female,Run20130521_G3-LF-r1_EL2124_S21;Run20130528_G3-LF-r2_EL2124_S21;Run20130530_G3-LF-r3_EL2124_S21;Run20130617_G3-LF-r4_EL2124_S21;Run20130822_G3-6LF-r6_EL2124_S4,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369890,502,271930890,SAMN02839686,180352693,ERDC-USACE,SRX584792,Run20130530_G3-LF-r3_EL2125_S22,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,W3A_2_EL2125,SRP041981,,,,,,,female,adult,"Dr. Andrew Beckerman\, University of Sheffield\, UK",W3A,parthenogenetic female,Run20130521_G3-LF-r1_EL2125_S22;Run20130528_G3-LF-r2_EL2125_S22;Run20130530_G3-LF-r3_EL2125_S22;Run20130617_G3-LF-r4_EL2125_S22;Run20130812_G3-6LF-r4_EL2125_S3,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369891,502,240877170,SAMN02839688,159733723,ERDC-USACE,SRX584793,Run20130530_G3-LF-r3_EL2126_S23,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,W3A_3_EL2126,SRP041981,,,,,,,female,adult,"Dr. Andrew Beckerman\, University of Sheffield\, UK",W3A,parthenogenetic female,Run20130521_G3-LF-r1_EL2126_S23;Run20130528_G3-LF-r2_EL2126_S23;Run20130530_G3-LF-r3_EL2126_S23;Run20130617_G3-LF-r4_EL2126_S23;Run20130730_G3-6LF-r1_EL2126_S5,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369892,502,144870674,SAMN02839690,96919471,ERDC-USACE,SRX584794,Run20130530_G3-LF-r3_EL2127_S24,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,W3A_4_EL2127,SRP041981,,,,,,,female,adult,"Dr. Andrew Beckerman\, University of Sheffield\, UK",W3A,parthenogenetic female,Run20130521_G3-LF-r1_EL2127_S24;Run20130528_G3-LF-r2_EL2127_S24;Run20130530_G3-LF-r3_EL2127_S24;Run20130617_G3-LF-r4_EL2127_S24;Run20130808_G3-6LF-r3_EL2127_S3,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369893,502,236927936,SAMN02839692,158970527,ERDC-USACE,SRX584795,Run20130530_G3-LF-r3_EL2128_S25,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,W3A_5_EL2128,SRP041981,,,,,,,female,adult,"Dr. Andrew Beckerman\, University of Sheffield\, UK",W3A,parthenogenetic female,Run20130521_G3-LF-r1_EL2128_S25;Run20130528_G3-LF-r2_EL2128_S25;Run20130530_G3-LF-r3_EL2128_S25;Run20130617_G3-LF-r4_EL2128_S25;Run20130808_G3-6LF-r3_EL2128_S4,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369894,502,232886836,SAMN02839634,153961925,ERDC-USACE,SRX584796,Run20130530_G3-LF-r3_EL2129_S26,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,CA2_1_EL2129,SRP041981,,,,,,,female,adult,"Dr. Andrew Beckerman\, University of Sheffield\, UK",CA2,parthenogenetic female,Run20130521_G3-LF-r1_EL2129_S26;Run20130528_G3-LF-r2_EL2129_S26;Run20130530_G3-LF-r3_EL2129_S26;Run20130617_G3-LF-r4_EL2129_S26;Run20130812_G3-6LF-r4_EL2129_S4,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369895,502,258990334,SAMN02839636,172576623,ERDC-USACE,SRX584797,Run20130530_G3-LF-r3_EL2130_S27,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,CA2_2_EL2130,SRP041981,,,,,,,female,adult,"Dr. Andrew Beckerman\, University of Sheffield\, UK",CA2,parthenogenetic female,Run20130521_G3-LF-r1_EL2130_S27;Run20130528_G3-LF-r2_EL2130_S27;Run20130530_G3-LF-r3_EL2130_S27;Run20130617_G3-LF-r4_EL2130_S27;Run20130822_G3-6LF-r6_EL2130_S5,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369896,502,240310412,SAMN02839638,161578497,ERDC-USACE,SRX584798,Run20130530_G3-LF-r3_EL2131_S28,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,CA2_3_EL2131,SRP041981,,,,,,,female,adult,"Dr. Andrew Beckerman\, University of Sheffield\, UK",CA2,parthenogenetic female,Run20130521_G3-LF-r1_EL2131_S28;Run20130528_G3-LF-r2_EL2131_S28;Run20130530_G3-LF-r3_EL2131_S28;Run20130617_G3-LF-r4_EL2131_S28;Run20130822_G3-6LF-r6_EL2131_S6,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369897,502,238630218,SAMN02839640,159259339,ERDC-USACE,SRX584799,Run20130530_G3-LF-r3_EL2132_S29,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,CA2_4_EL2132,SRP041981,,,,,,,female,adult,"Dr. Andrew Beckerman\, University of Sheffield\, UK",CA2,parthenogenetic female,Run20130521_G3-LF-r1_EL2132_S29;Run20130528_G3-LF-r2_EL2132_S29;Run20130530_G3-LF-r3_EL2132_S29;Run20130617_G3-LF-r4_EL2132_S29;Run20130816_G3-6LF-r5_EL2132_S4,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369898,502,272022254,SAMN02839642,183291479,ERDC-USACE,SRX584800,Run20130530_G3-LF-r3_EL2133_S30,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,CA2_5_EL2133,SRP041981,,,,,,,female,adult,"Dr. Andrew Beckerman\, University of Sheffield\, UK",CA2,parthenogenetic female,Run20130521_G3-LF-r1_EL2133_S30;Run20130528_G3-LF-r2_EL2133_S30;Run20130530_G3-LF-r3_EL2133_S30;Run20130617_G3-LF-r4_EL2133_S30;Run20130730_G3-6LF-r1_EL2133_S6,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369899,502,508135946,SAMN02839628,344583515,ERDC-USACE,SRX584801,Run20130530_G3-LF-r3_EL2134_S31,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,BEL_1_EL2134,SRP041981,,,,,,,female,adult,"EPBI\, Belgium",BEL,parthenogenetic female,Run20130521_G3-LF-r1_EL2134_S31;Run20130528_G3-LF-r2_EL2134_S31;Run20130530_G3-LF-r3_EL2134_S31;Run20130617_G3-LF-r4_EL2134_S31;Run20130812_G3-6LF-r4_EL2134_S5,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369900,502,232243272,SAMN02839630,153976957,ERDC-USACE,SRX584802,Run20130530_G3-LF-r3_EL2135_S32,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,BEL_9_EL2135,SRP041981,,,,,,,female,adult,"EPBI\, Belgium",BEL,parthenogenetic female,Run20130521_G3-LF-r1_EL2135_S32;Run20130528_G3-LF-r2_EL2135_S32;Run20130530_G3-LF-r3_EL2135_S32;Run20130617_G3-LF-r4_EL2135_S32;Run20130812_G3-6LF-r4_EL2135_S6,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369901,502,152405694,SAMN02839632,102946457,ERDC-USACE,SRX584803,Run20130530_G3-LF-r3_EL2136_S33,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,BEL_13_EL2136,SRP041981,,,,,,,female,adult,"EPBI\, Belgium",BEL,parthenogenetic female,Run20130521_G3-LF-r1_EL2136_S33;Run20130528_G3-LF-r2_EL2136_S33;Run20130530_G3-LF-r3_EL2136_S33;Run20130617_G3-LF-r4_EL2136_S33;Run20130816_G3-6LF-r5_EL2136_S5,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369902,502,170009328,SAMN02839622,116216313,ERDC-USACE,SRX584804,Run20130530_G3-LF-r3_EL2137_S34,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ABS_3_EL2137,SRP041981,,,,,,,female,adult,"Aquatic Biosystems\, Inc.\, Fort Collins\, CO",ABS,parthenogenetic female,Run20130521_G3-LF-r1_EL2137_S34;Run20130528_G3-LF-r2_EL2137_S34;Run20130530_G3-LF-r3_EL2137_S34;Run20130617_G3-LF-r4_EL2137_S34;Run20130816_G3-6LF-r5_EL2137_S6,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369903,502,268483656,SAMN02839624,181739611,ERDC-USACE,SRX584805,Run20130530_G3-LF-r3_EL2138_S35,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ABS_7_EL2138,SRP041981,,,,,,,female,adult,"Aquatic Biosystems\, Inc.\, Fort Collins\, CO",ABS,parthenogenetic female,Run20130521_G3-LF-r1_EL2138_S35;Run20130528_G3-LF-r2_EL2138_S35;Run20130530_G3-LF-r3_EL2138_S35;Run20130617_G3-LF-r4_EL2138_S35;Run20130808_G3-6LF-r3_EL2138_S6,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369904,502,178089018,SAMN02839626,119827410,ERDC-USACE,SRX584806,Run20130530_G3-LF-r3_EL2139_S36,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ABS_14_EL2139,SRP041981,,,,,,,female,adult,"Aquatic Biosystems\, Inc.\, Fort Collins\, CO",ABS,parthenogenetic female,Run20130521_G3-LF-r1_EL2139_S36;Run20130528_G3-LF-r2_EL2139_S36;Run20130530_G3-LF-r3_EL2139_S36;Run20130617_G3-LF-r4_EL2139_S36;Run20130806_G3-6LF-r2_EL2139_S6,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369905,502,242947920,SAMN02839664,157072222,ERDC-USACE,SRX584807,Run20130617_G3-LF-r4_EL2104_S1,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_1_EL2104,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2104_S1;Run20130528_G3-LF-r2_EL2104_S1;Run20130530_G3-LF-r3_EL2104_S1;Run20130617_G3-LF-r4_EL2104_S1;Run20130730_G3-6LF-r1_EL2104_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369906,502,210777752,SAMN02839666,138529826,ERDC-USACE,SRX584808,Run20130617_G3-LF-r4_EL2105_S2,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_2_EL2105,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2105_S2;Run20130528_G3-LF-r2_EL2105_S2;Run20130530_G3-LF-r3_EL2105_S2;Run20130617_G3-LF-r4_EL2105_S2;Run20130806_G3-6LF-r2_EL2105_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369907,502,238030830,SAMN02839668,158267680,ERDC-USACE,SRX584809,Run20130617_G3-LF-r4_EL2106_S3,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_3_EL2106,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2106_S3;Run20130528_G3-LF-r2_EL2106_S3;Run20130530_G3-LF-r3_EL2106_S3;Run20130617_G3-LF-r4_EL2106_S3;Run20130808_G3-6LF-r3_EL2106_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369908,502,233876780,SAMN02839670,157991959,ERDC-USACE,SRX584810,Run20130617_G3-LF-r4_EL2107_S4,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_4_EL2107,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2107_S4;Run20130528_G3-LF-r2_EL2107_S4;Run20130530_G3-LF-r3_EL2107_S4;Run20130617_G3-LF-r4_EL2107_S4;Run20130812_G3-6LF-r4_EL2107_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369909,502,256450214,SAMN02839672,169017106,ERDC-USACE,SRX584811,Run20130617_G3-LF-r4_EL2108_S5,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_5_EL2108,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2108_S5;Run20130528_G3-LF-r2_EL2108_S5;Run20130530_G3-LF-r3_EL2108_S5;Run20130617_G3-LF-r4_EL2108_S5;Run20130816_G3-6LF-r5_EL2108_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369910,502,264751286,SAMN02839644,176172411,ERDC-USACE,SRX584812,Run20130617_G3-LF-r4_EL2109_S6,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_1_EL2109,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130521_G3-LF-r1_EL2109_S6;Run20130528_G3-LF-r2_EL2109_S6;Run20130530_G3-LF-r3_EL2109_S6;Run20130617_G3-LF-r4_EL2109_S6;Run20130822_G3-6LF-r6_EL2109_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369911,502,191709282,SAMN02839646,128140819,ERDC-USACE,SRX584813,Run20130617_G3-LF-r4_EL2110_S7,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_2_EL2110,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130521_G3-LF-r1_EL2110_S7;Run20130528_G3-LF-r2_EL2110_S7;Run20130530_G3-LF-r3_EL2110_S7;Run20130617_G3-LF-r4_EL2110_S7;Run20130730_G3-6LF-r1_EL2110_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369912,502,266945528,SAMN02839648,174314684,ERDC-USACE,SRX584814,Run20130617_G3-LF-r4_EL2111_S8,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_3_EL2111,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130521_G3-LF-r1_EL2111_S8;Run20130528_G3-LF-r2_EL2111_S8;Run20130530_G3-LF-r3_EL2111_S8;Run20130617_G3-LF-r4_EL2111_S8;Run20130806_G3-6LF-r2_EL2111_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369913,502,225772994,SAMN02839650,152041166,ERDC-USACE,SRX584815,Run20130617_G3-LF-r4_EL2112_S9,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_4_EL2112,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130521_G3-LF-r1_EL2112_S9;Run20130528_G3-LF-r2_EL2112_S9;Run20130530_G3-LF-r3_EL2112_S9;Run20130617_G3-LF-r4_EL2112_S9;Run20130808_G3-6LF-r3_EL2112_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369914,502,98023030,SAMN02839652,65332101,ERDC-USACE,SRX584816,Run20130617_G3-LF-r4_EL2113_S10,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_5_EL2113,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130521_G3-LF-r1_EL2113_S10;Run20130528_G3-LF-r2_EL2113_S10;Run20130530_G3-LF-r3_EL2113_S10;Run20130617_G3-LF-r4_EL2113_S10;Run20130812_G3-6LF-r4_EL2113_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369915,502,218868988,SAMN02839674,143499516,ERDC-USACE,SRX584817,Run20130617_G3-LF-r4_EL2114_S11,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_1_EL2114,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2114_S11;Run20130528_G3-LF-r2_EL2114_S11;Run20130530_G3-LF-r3_EL2114_S11;Run20130617_G3-LF-r4_EL2114_S11;Run20130822_G3-6LF-r6_EL2114_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369916,502,280406658,SAMN02839676,189415434,ERDC-USACE,SRX584818,Run20130617_G3-LF-r4_EL2115_S12,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_2_EL2115,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2115_S12;Run20130528_G3-LF-r2_EL2115_S12;Run20130530_G3-LF-r3_EL2115_S12;Run20130617_G3-LF-r4_EL2115_S12;Run20130730_G3-6LF-r1_EL2115_S3,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369917,502,205991684,SAMN02839678,138057871,ERDC-USACE,SRX584819,Run20130617_G3-LF-r4_EL2116_S13,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_3_EL2116,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2116_S13;Run20130528_G3-LF-r2_EL2116_S13;Run20130530_G3-LF-r3_EL2116_S13;Run20130617_G3-LF-r4_EL2116_S13;Run20130806_G3-6LF-r2_EL2116_S3,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369918,502,224059166,SAMN02839680,152403112,ERDC-USACE,SRX584820,Run20130617_G3-LF-r4_EL2117_S14,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_4_EL2117,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2117_S14;Run20130528_G3-LF-r2_EL2117_S14;Run20130530_G3-LF-r3_EL2117_S14;Run20130617_G3-LF-r4_EL2117_S14;Run20130806_G3-6LF-r2_EL2117_S4,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369919,502,299372218,SAMN02839682,200323220,ERDC-USACE,SRX584821,Run20130617_G3-LF-r4_EL2118_S15,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_5_EL2118,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2118_S15;Run20130528_G3-LF-r2_EL2118_S15;Run20130530_G3-LF-r3_EL2118_S15;Run20130617_G3-LF-r4_EL2118_S15;Run20130730_G3-6LF-r1_EL2118_S4,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369920,502,244204928,SAMN02839654,168366995,ERDC-USACE,SRX584822,Run20130617_G3-LF-r4_EL2119_S16,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,HSL_1_EL2119,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Horseshoe Lake\, MO",HSL,parthenogenetic female,Run20130521_G3-LF-r1_EL2119_S16;Run20130528_G3-LF-r2_EL2119_S16;Run20130530_G3-LF-r3_EL2119_S16;Run20130617_G3-LF-r4_EL2119_S16;Run20130806_G3-6LF-r2_EL2119_S5,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369921,502,333706006,SAMN02839656,230992423,ERDC-USACE,SRX584823,Run20130617_G3-LF-r4_EL2120_S17,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,HSL_2_EL2120,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Horseshoe Lake\, MO",HSL,parthenogenetic female,Run20130521_G3-LF-r1_EL2120_S17;Run20130528_G3-LF-r2_EL2120_S17;Run20130530_G3-LF-r3_EL2120_S17;Run20130617_G3-LF-r4_EL2120_S17;Run20130808_G3-6LF-r3_EL2120_S5,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
